                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.10179,                    0.5,                      1,                0.02428,                 0.0721,                 0.0031,                 0.0031
                      1,                0.08967,                    0.5,                      1,                0.02362,               0.043238,              0.0062376,              0.0062376
                      2,                 0.0899,                    0.5,                      1,                0.02283,               0.014312,              0.0093119,              0.0093119
                      3,                0.08777,                    0.5,                      1,                0.02452,               0.009703,               0.009703,               0.009703
                      4,                0.08924,                    0.5,                      1,                0.02376,               0.009703,               0.009703,               0.009703
                      5,                0.08709,                    0.5,                      1,                0.02269,               0.009604,               0.009604,               0.009604
                      6,                0.08833,                    0.5,                      1,                0.02319,               0.009505,               0.009505,               0.009505
                      7,                0.08643,                    0.5,                      1,                0.02263,               0.009406,               0.009406,               0.009406
                      8,                0.08102,                    0.5,                      1,                0.02316,               0.009307,               0.009307,               0.009307
                      9,                0.08235,                    0.5,                      1,                0.02118,               0.009208,               0.009208,               0.009208
                     10,                0.08251,                    0.5,                      1,                0.02299,               0.009109,               0.009109,               0.009109
                     11,                0.08114,                    0.5,                      1,                0.01987,                0.00901,                0.00901,                0.00901
                     12,                0.08097,                    0.5,                      1,                0.01834,               0.008911,               0.008911,               0.008911
                     13,                0.07809,                    0.5,                      1,                0.02103,               0.008812,               0.008812,               0.008812
                     14,                0.08025,                    0.5,                      1,                0.01959,               0.008713,               0.008713,               0.008713
                     15,                0.08338,                    0.5,                      1,                0.02206,               0.008614,               0.008614,               0.008614
                     16,                0.07874,                    0.5,                      1,                0.01759,               0.008515,               0.008515,               0.008515
                     17,                0.07616,                    0.5,                      1,                0.01813,               0.008416,               0.008416,               0.008416
                     18,                0.07628,                    0.5,                      1,                0.01851,               0.008317,               0.008317,               0.008317
                     19,                0.07608,                    0.5,                      1,                0.01942,               0.008218,               0.008218,               0.008218
                     20,                0.07962,                    0.5,                      1,                0.02109,               0.008119,               0.008119,               0.008119
                     21,                0.07319,                    0.5,                      1,                0.02011,                0.00802,                0.00802,                0.00802
                     22,                0.06951,                    0.5,                      1,                0.01877,               0.007921,               0.007921,               0.007921
                     23,                0.07624,                    0.5,                      1,                0.01938,               0.007822,               0.007822,               0.007822
                     24,                0.06574,                    0.5,                      1,                0.02005,               0.007723,               0.007723,               0.007723
                     25,                0.06688,                    0.5,                      1,                0.02122,               0.007624,               0.007624,               0.007624
                     26,                0.06924,                    0.5,                      1,                0.01692,               0.007525,               0.007525,               0.007525
                     27,                0.07113,                      1,                      1,                0.01524,               0.007426,               0.007426,               0.007426
                     28,                0.06908,                    0.5,                      1,                0.02312,               0.007327,               0.007327,               0.007327
                     29,                0.07458,                    0.5,                      1,                0.02014,               0.007228,               0.007228,               0.007228
                     30,                0.06206,                    0.5,                      1,                0.02213,               0.007129,               0.007129,               0.007129
                     31,                0.07231,                    0.5,                      1,                0.01906,                0.00703,                0.00703,                0.00703
                     32,                0.06356,                      1,                      1,                 0.0163,               0.006931,               0.006931,               0.006931
                     33,                0.06684,                      1,                      1,                0.01573,               0.006832,               0.006832,               0.006832
                     34,                0.06633,                      1,                      1,                0.01605,               0.006733,               0.006733,               0.006733
                     35,                0.06069,                    0.5,                      1,                0.01923,               0.006634,               0.006634,               0.006634
                     36,                0.05838,                    0.5,                      1,                0.02213,               0.006535,               0.006535,               0.006535
                     37,                 0.0615,                    0.5,                      1,                0.01688,               0.006436,               0.006436,               0.006436
                     38,                0.06381,                      1,                      1,                0.01357,               0.006337,               0.006337,               0.006337
                     39,                0.05918,                      1,                      1,                0.01588,               0.006238,               0.006238,               0.006238
                     40,                0.06348,                      1,                      1,                 0.0174,               0.006139,               0.006139,               0.006139
                     41,                0.05252,                    0.5,                      1,                0.01746,                0.00604,                0.00604,                0.00604
                     42,                0.06301,                      1,                      1,                0.01528,               0.005941,               0.005941,               0.005941
                     43,                0.06379,                    0.5,                      1,                0.02174,               0.005842,               0.005842,               0.005842
                     44,                0.05361,                    0.5,                      1,                0.01923,               0.005743,               0.005743,               0.005743
                     45,                 0.0562,                      1,                      1,                0.01761,               0.005644,               0.005644,               0.005644
                     46,                0.04636,                      1,                      1,                0.01677,               0.005545,               0.005545,               0.005545
                     47,                0.06002,                    0.5,                      1,                0.01845,               0.005446,               0.005446,               0.005446
                     48,                0.05417,                      1,                      1,                0.01521,               0.005347,               0.005347,               0.005347
                     49,                0.05549,                    0.5,                      1,                0.01707,               0.005248,               0.005248,               0.005248
                     50,                0.05238,                    0.5,                      1,                0.02057,               0.005149,               0.005149,               0.005149
                     51,                0.05263,                    0.5,                      1,                0.01585,                0.00505,                0.00505,                0.00505
                     52,                0.05222,                      1,                      1,                0.01193,               0.004951,               0.004951,               0.004951
                     53,                0.05156,                    0.5,                      1,                0.01674,               0.004852,               0.004852,               0.004852
                     54,                 0.0547,                      1,                      1,                0.01258,               0.004753,               0.004753,               0.004753
                     55,                0.05143,                    0.5,                      1,                 0.0182,               0.004654,               0.004654,               0.004654
                     56,                0.06238,                      1,                      1,                0.01285,               0.004555,               0.004555,               0.004555
                     57,                0.04883,                      1,                      1,                 0.0114,               0.004456,               0.004456,               0.004456
                     58,                0.04608,                      1,                      1,                0.01276,               0.004357,               0.004357,               0.004357
                     59,                0.04921,                      1,                      1,                0.01067,               0.004258,               0.004258,               0.004258
                     60,                 0.0468,                      1,                      1,                0.01306,               0.004159,               0.004159,               0.004159
                     61,                0.04862,                      1,                      1,                0.01096,                0.00406,                0.00406,                0.00406
                     62,                0.05526,                      1,                      1,                0.01173,               0.003961,               0.003961,               0.003961
                     63,                0.04655,                      1,                      1,                0.01352,               0.003862,               0.003862,               0.003862
                     64,                0.04071,                      1,                      1,                  0.011,               0.003763,               0.003763,               0.003763
