                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                fitness,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.10179,                    0.5,                      1,                      1,                0.02428,                 0.0721,                 0.0031,                 0.0031
                      1,                0.08967,                    0.5,                      1,                      1,                0.02362,               0.043238,              0.0062376,              0.0062376
                      2,                 0.0899,                    0.5,                      1,                      1,                0.02283,               0.014312,              0.0093119,              0.0093119
                      3,                0.08777,                    0.5,                      1,                      1,                0.02452,               0.009703,               0.009703,               0.009703
                      4,                0.08924,                    0.5,                      1,                      1,                0.02376,               0.009703,               0.009703,               0.009703
                      5,                0.08709,                    0.5,                      1,                      1,                0.02269,               0.009604,               0.009604,               0.009604
                      6,                0.08833,                    0.5,                      1,                      1,                0.02319,               0.009505,               0.009505,               0.009505
                      7,                0.08643,                    0.5,                      1,                      1,                0.02263,               0.009406,               0.009406,               0.009406
                      8,                0.08102,                    0.5,                      1,                      1,                0.02316,               0.009307,               0.009307,               0.009307
                      9,                0.08235,                    0.5,                      1,                      1,                0.02118,               0.009208,               0.009208,               0.009208
                     10,                0.08251,                    0.5,                      1,                      1,                0.02299,               0.009109,               0.009109,               0.009109
                     11,                0.08114,                    0.5,                      1,                      1,                0.01987,                0.00901,                0.00901,                0.00901
                     12,                0.08097,                    0.5,                      1,                      1,                0.01834,               0.008911,               0.008911,               0.008911
